Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
purchase ticket,181,1122,748,2268,3176,3961,509,5058,0.000%,3.77327,8.76,3.18
TOTAL,181,1122,748,2268,3176,3961,509,5058,0.000%,3.77327,8.76,3.18
